Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
second-chance-bags,Second Chance Bags,"<p>Help Homeboy transform lives by sending us your gently used or unworn fashion finds. We will use them in our on-the-job training in sorting, assessing, and remarketing for people who face barriers to employment.</p>
<ul>
<li>Bag dimensions: 20"" x 22""</li>
<li>Pre-paid shipping label included</li>
<li>Customer drop off at your nearest FedEx location</li>
<li>What to recycle: Clean clothing</li>
<li>What NOT to recycle: Heavily worn, damaged or stained clothing, swimwear, socks, undergarments, or shoes</li>
</ul>
<p> </p>
<p><meta charset=""utf-8"">Second Chance Bag comes with a 10% off code for your next purchase at any of our online stores:</p>
<p>shophomeboy.com</p>
<p>shop.homeboythreads.com</p>
<p>shop.homeboyrecycling.com</p>",Homeboy Threads,,,designer-donated,TRUE,Title,Default Title,,,,,,77,shopify,1,deny,manual,20.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/IMG_9130.jpg?v=1767737848,1,Second Chance Bags,FALSE,Second Chance Bags | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
second-chance-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/TakebackEnvelope.jpg?v=1767737848,2,Second Chance Bags,,,,,,,,
second-chance-bags,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/TakebackEnvelopeBack.jpg?v=1767737848,3,Second Chance Bags,,,,,,,,
elwen-dress,Elwen Dress,,Homeboy Threads,,,"private, designer-donated",TRUE,Title,Default Title,,,,,,454,shopify,1,deny,manual,111.20,278.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/C6114125-0A02-4131-936F-537C8023F1D5.jpg?v=1762981514,1,Elwen Dress,FALSE,Elwen Dress | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
pike-satin-dress,Pike Satin Dress,<p></p>,Homeboy Threads,,Dresses,"private, designer-donated",TRUE,Color,Black Currant Crinkle,Size,L,,,1313801BXC00L,453,shopify,1,deny,manual,87.20,218.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/1452BC30-1D82-4D05-8B46-49BF295306BE.jpg?v=1762980875,1,Pike Satin Dress,FALSE,Pike Satin Dress | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
pike-satin-dress,,,,,,,,Color,Black Currant Crinkle,Size,M,,,1313801BXC00M,453,shopify,1,deny,manual,87.20,218.00,TRUE,TRUE,,,,,,,,,g,,,
pike-satin-dress,,,,,,,,Color,Black Currant Crinkle,Size,XL,,,1313801BXC0XL,453,shopify,1,deny,manual,87.20,218.00,TRUE,TRUE,,,,,,,,,g,,,
pike-satin-dress,,,,,,,,Color,Black Currant Crinkle,Size,XS,,,1313801BXC0XS,453,shopify,1,deny,manual,87.20,218.00,TRUE,TRUE,,,,,,,,,g,,,
valencia-regenerative-merino-v,Valencia Regenerative Merino V,<p></p>,Homeboy Threads,,Sweatshirts,"private, designer-donated",TRUE,Color,Cream,Size,L,,,1316730CRM00L,453,shopify,1,deny,manual,79.20,198.00,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0717/4320/9787/files/4D696B94-B92C-4626-949B-D1CDE3FDEFA1.png?v=1762980715,1,Valencia Regenerative Merino V,FALSE,Valencia Regenerative Merino V | Homeboy Threads Resale | Homeboy Threads,,,g,,,active
valencia-regenerative-merino-v,,,,,,,,Color,Cream,Size,M,,,1316730CRM00M,453,shopify,1,deny,manual,79.20,198.00,TRUE,TRUE,,,,,,,,,g,,,
